日期,縣市,住宅(%),服務業(%),農林漁牧(%),合計售電量(度),縣市用電佔比(%)
2020年09月,新北市,46%,28%,0%,2255281180,11%
2020年09月,台北市,40%,56%,0%,1689536881,8%
2020年09月,桃園市,20%,17%,0%,2546388235,12%
2020年09月,台中市,23%,19%,1%,3071752309,15%
2020年09月,台南市,16%,11%,2%,2634189848,12%
2020年09月,高雄市,25%,19%,1%,2765039109,13%
2020年09月,宜蘭縣,31%,26%,2%,334788345,2%
2020年09月,新竹縣,16%,11%,0%,879775329,4%
2020年09月,苗栗縣,20%,11%,1%,653142753,3%
2020年09月,彰化縣,25%,18%,5%,1075361319,5%
2020年09月,南投縣,31%,25%,4%,256418732,1%
2020年09月,雲林縣,27%,16%,8%,541505336,3%
2020年09月,嘉義縣,36%,19%,10%,282705771,1%
2020年09月,屏東縣,37%,24%,15%,470503515,2%
2020年09月,台東縣,44%,42%,3%,96289717,0%
2020年09月,花蓮縣,33%,34%,1%,220512434,1%
2020年09月,基隆市,51%,35%,0%,151926306,1%
2020年09月,新竹市,14%,13%,0%,960098153,5%
2020年09月,嘉義市,47%,45%,1%,124471553,1%
2020年09月,澎湖縣,44%,45%,1%,53398656,0%
2020年09月,金門縣,45%,42%,1%,34621574,0%
2020年09月,連江縣,42%,50%,0%,8365310,0%
2020年09月,合計,27%,22%,2%,21106072365,100%
,,,,,,
,,,,,,
